STATION,NAME,DATE,TMAX,TMIN,TOBS
USC00048351,"SONOMA, CA US",1/1/1955,56,51,52
USC00048351,"SONOMA, CA US",1/2/1955,54,28,49
USC00048351,"SONOMA, CA US",1/3/1955,52,25,44
USC00048351,"SONOMA, CA US",1/4/1955,48,23,45
USC00048351,"SONOMA, CA US",1/5/1955,52,33,50
USC00048351,"SONOMA, CA US",1/6/1955,58,32,52
USC00048351,"SONOMA, CA US",1/7/1955,60,44,52
USC00048351,"SONOMA, CA US",1/8/1955,52,25,48
USC00048351,"SONOMA, CA US",1/9/1955,49,33,45
USC00048351,"SONOMA, CA US",1/10/1955,52,35,45
USC00048351,"SONOMA, CA US",1/11/1955,51,25,49
USC00048351,"SONOMA, CA US",1/12/1955,51,26,43
USC00048351,"SONOMA, CA US",1/13/1955,45,34,41
USC00048351,"SONOMA, CA US",1/14/1955,47,34,43
USC00048351,"SONOMA, CA US",1/15/1955,47,31,46
USC00048351,"SONOMA, CA US",1/16/1955,53,37,49
USC00048351,"SONOMA, CA US",1/17/1955,49,27,45
USC00048351,"SONOMA, CA US",1/18/1955,49,41,47
USC00048351,"SONOMA, CA US",1/19/1955,50,40,48
USC00048351,"SONOMA, CA US",1/20/1955,55,28,52
USC00048351,"SONOMA, CA US",1/21/1955,59,30,53
USC00048351,"SONOMA, CA US",1/22/1955,60,30,52
USC00048351,"SONOMA, CA US",1/23/1955,57,29,53
USC00048351,"SONOMA, CA US",1/24/1955,53,37,48
USC00048351,"SONOMA, CA US",1/25/1955,58,31,50
USC00048351,"SONOMA, CA US",1/26/1955,55,32,50
USC00048351,"SONOMA, CA US",1/27/1955,64,28,47
USC00048351,"SONOMA, CA US",1/28/1955,52,29,44
USC00048351,"SONOMA, CA US",1/29/1955,47,38,44
USC00048351,"SONOMA, CA US",1/30/1955,50,39,48
USC00048351,"SONOMA, CA US",1/31/1955,55,42,50
USC00048351,"SONOMA, CA US",2/1/1955,55,34,50
USC00048351,"SONOMA, CA US",2/2/1955,57,24,54
USC00048351,"SONOMA, CA US",2/3/1955,58,28,56
USC00048351,"SONOMA, CA US",2/4/1955,59,27,55
USC00048351,"SONOMA, CA US",2/5/1955,58,30,53
USC00048351,"SONOMA, CA US",2/6/1955,67,30,58
USC00048351,"SONOMA, CA US",2/7/1955,61,29,59
USC00048351,"SONOMA, CA US",2/8/1955,64,28,54
USC00048351,"SONOMA, CA US",2/9/1955,63,31,61
USC00048351,"SONOMA, CA US",2/10/1955,63,28,61
USC00048351,"SONOMA, CA US",2/11/1955,64,34,60
USC00048351,"SONOMA, CA US",2/12/1955,64,34,58
USC00048351,"SONOMA, CA US",2/13/1955,62,38,60
USC00048351,"SONOMA, CA US",2/14/1955,62,40,60
USC00048351,"SONOMA, CA US",2/15/1955,69,33,64
USC00048351,"SONOMA, CA US",2/16/1955,64,47,56
USC00048351,"SONOMA, CA US",2/17/1955,68,52,64
USC00048351,"SONOMA, CA US",2/18/1955,64,41,52
USC00048351,"SONOMA, CA US",2/19/1955,64,46,60
USC00048351,"SONOMA, CA US",2/20/1955,63,33,58
USC00048351,"SONOMA, CA US",2/21/1955,62,25,60
USC00048351,"SONOMA, CA US",2/22/1955,62,26,55
USC00048351,"SONOMA, CA US",2/23/1955,64,31,58
USC00048351,"SONOMA, CA US",2/24/1955,65,26,50
USC00048351,"SONOMA, CA US",2/25/1955,60,35,53
USC00048351,"SONOMA, CA US",2/26/1955,52,37,47
USC00048351,"SONOMA, CA US",2/27/1955,50,35,49
USC00048351,"SONOMA, CA US",2/28/1955,56,24,52
USC00048351,"SONOMA, CA US",3/1/1955,58,25,51
USC00048351,"SONOMA, CA US",3/2/1955,61,28,53
USC00048351,"SONOMA, CA US",3/3/1955,63,30,56
USC00048351,"SONOMA, CA US",3/4/1955,62,28,59
USC00048351,"SONOMA, CA US",3/5/1955,65,26,63
USC00048351,"SONOMA, CA US",3/6/1955,71,35,67
USC00048351,"SONOMA, CA US",3/7/1955,72,29,68
USC00048351,"SONOMA, CA US",3/8/1955,73,32,67
